pdb_id,karma_score,karma_score_ff,karma_score_aligned
Z1103241348,26.165023803710938,24.453990936279297,23.572641372680664
Z412774176,29.2452335357666,26.239837646484375,25.47515296936035
Z114950198,29.710254669189453,30.725788116455078,26.95342445373535
Z119992430,30.304821014404297,28.2023983001709,24.963977813720703
Z56791351,27.63479232788086,26.80215835571289,23.91974639892578
Z236318638,22.83644676208496,24.43879508972168,23.796016693115234
Z1141047029,27.28964614868164,25.683244705200195,23.7897891998291
Z247043362,21.692781448364258,19.458616256713867,16.8719539642334
Z647976584,26.487512588500977,26.2742977142334,24.756319046020508
Z434841286,33.07328796386719,28.220375061035156,31.009445190429688
Z412775020,29.581850051879883,25.12445831298828,26.92860984802246
Z336559962,27.108989715576172,22.606616973876953,19.77675437927246
Z232630932,39.5296630859375,43.40007781982422,31.608795166015625
Z453887798,34.03304672241211,33.16278839111328,34.434471130371094
Z228464750,25.659473419189453,22.830991744995117,21.932781219482422
Z275500628,38.886531829833984,33.38752365112305,30.84360694885254
Z413175002,29.868816375732422,28.249399185180664,29.875062942504883
Z19863961,34.717525482177734,30.6058349609375,25.41168975830078
Z106665716,26.554462432861328,22.735319137573242,25.24637222290039
Z128086498,37.98724365234375,36.40020751953125,36.46927261352539
Z225957644,33.2339973449707,33.028358459472656,29.267871856689453
Z1227522995,40.42336654663086,36.6546516418457,32.85348129272461
Z107319362,30.261545181274414,26.111173629760742,23.963594436645508
Z56826603,32.40664291381836,29.32450294494629,27.77978515625
Z987964770,27.816158294677734,24.021085739135742,22.32908821105957
Z18534307,34.63339614868164,32.972633361816406,30.624744415283203
Z297268832,30.08242416381836,26.15857696533203,24.743085861206055
Z25066256,26.469032287597656,25.77744483947754,21.51451873779297
Z19982748,35.834293365478516,32.397377014160156,30.27092742919922
Z1129155203,33.70850372314453,32.940940856933594,28.23994255065918
Z873732192,28.733001708984375,26.607406616210938,25.72161102294922
Z19667517,33.872005462646484,28.72231101989746,26.199047088623047
Z216848200,23.461511611938477,23.788227081298828,17.466999053955078
Z199055452,38.64657974243164,38.79948806762695,35.61956787109375
Z450112784,36.32263946533203,35.0988883972168,28.49114418029785
Z73300898,26.674720764160156,25.11433982849121,23.903955459594727
Z56816068,34.175880432128906,35.66792678833008,38.200496673583984
Z56919929,40.83633041381836,40.54157257080078,36.77476119995117
Z511608512,32.53190612792969,30.561386108398438,33.41051483154297
Z16592639,34.484249114990234,29.39689826965332,28.784595489501953
Z643212368,27.789920806884766,24.92245864868164,22.742076873779297
Z44397762,39.37306213378906,38.04179382324219,34.12715148925781
Z1081090404,29.92180061340332,26.883901596069336,28.002561569213867
Z927972178,37.7385368347168,35.92030334472656,34.47863006591797
Z109955408,32.89348602294922,25.281658172607422,27.126449584960938
Z558380580,25.26299285888672,23.600378036499023,21.971364974975586
Z803223918,24.566194534301758,24.376911163330078,17.838926315307617
Z995373390,27.515047073364258,23.459396362304688,22.888751983642578
Z913725738,30.878482818603516,26.41717529296875,23.733173370361328
Z653346990,35.242340087890625,33.12858581542969,30.749425888061523
Z240716472,45.4173583984375,45.93459701538086,41.02589797973633
Z242175442,40.41264343261719,36.80885314941406,38.18885040283203
Z160783404,16.253875732421875,21.266735076904297,21.245698928833008
Z24592206,40.979698181152344,38.79313278198242,36.529109954833984
Z252934004,31.75394630432129,26.99681854248047,25.510189056396484
Z908093290,29.683332443237305,28.66006088256836,27.358753204345703
Z52005969,40.42222213745117,38.67640686035156,40.14680862426758
Z204341820,41.27320861816406,37.7714729309082,34.0322380065918
Z19447498,39.1374626159668,36.9968147277832,29.324966430664062
Z68435865,28.62350082397461,27.222318649291992,24.39413833618164
Z16286584,36.45985412597656,32.0062255859375,28.81515121459961
Z100642558,24.67221450805664,23.302234649658203,21.7368221282959
Z365063240,32.01934814453125,29.344900131225586,29.144241333007812
Z98941608,26.694068908691406,19.108993530273438,19.394514083862305
Z771646542,24.410343170166016,23.472854614257812,22.013391494750977
Z425227654,42.009002685546875,37.704891204833984,33.02024459838867
Z19871234,34.080787658691406,30.25688934326172,28.716947555541992
Z28274665,30.770051956176758,28.440109252929688,21.552474975585938
Z57110409,34.97391128540039,36.10004425048828,33.07558059692383
Z238688270,25.215925216674805,22.673778533935547,25.799697875976562
Z227429876,41.506370544433594,36.413387298583984,34.483558654785156
Z30046778,30.832462310791016,31.5177001953125,26.589147567749023
Z86400772,37.585140228271484,37.357566833496094,26.843097686767578
Z15868946,27.414203643798828,25.345073699951172,26.031641006469727
Z90934948,29.34944725036621,30.361434936523438,26.125890731811523
Z27673197,29.926355361938477,29.610422134399414,26.82394790649414
Z116386688,45.585166931152344,42.46653366088867,38.313751220703125
Z108929700,25.11479949951172,24.179262161254883,22.02500343322754
Z410927360,35.70614242553711,29.77878761291504,29.558162689208984
Z368894682,20.089906692504883,17.02796745300293,16.993667602539062
Z1037939812,31.038360595703125,30.211713790893555,26.8322696685791
Z1229984790,32.755191802978516,30.750606536865234,26.093233108520508
Z466824928,36.323387145996094,36.19789123535156,30.533489227294922
Z56947229,27.134843826293945,24.597822189331055,23.75867462158203
Z105489474,37.89832305908203,34.80632781982422,32.39817810058594
Z365246124,27.432626724243164,23.605205535888672,24.51057243347168
Z240604600,36.33842849731445,28.71381378173828,31.46310043334961
Z810583238,24.856159210205078,22.31728744506836,20.15297508239746
Z927345340,27.675079345703125,24.339237213134766,27.362953186035156
Z826713788,22.46418571472168,22.88330078125,18.108983993530273
Z980256608,30.71832847595215,27.78310775756836,26.114511489868164
Z1082330728,35.72217559814453,27.4400577545166,28.6029109954834
Z220421452,23.008094787597656,23.27154541015625,22.713340759277344
Z51170832,28.572275161743164,25.889814376831055,26.069355010986328
Z204342414,39.82949447631836,37.46908950805664,39.665775299072266
Z30888972,30.127912521362305,27.969514846801758,26.364240646362305
